neo4j_version,release_date,end_of_support,recommended_driver,compatible_driver_lines,supported
5.24,2024-09-27,,5.26.3,"[5.x, 4.4]",true
5.23,2024-08-22,2024-09-27,5.26.3,"[5.x, 4.4]",false
5.22,2024-07-24,2024-08-22,5.26.3,"[5.x, 4.4]",false
5.21,2024-06-28,2024-07-24,5.26.3,"[5.x, 4.4]",false
5.20,2024-05-23,2024-06-28,5.26.3,"[5.x, 4.4]",false
5.19,2024-04-12,2024-05-23,5.26.3,"[5.x, 4.4]",false
5.18,2024-03-13,2024-04-12,5.26.3,"[5.x, 4.4]",false
5.17,2024-02-23,2024-03-13,5.26.3,"[5.x, 4.4]",false
5.16,2024-01-22,2024-02-23,5.26.3,"[5.x, 4.4]",false
5.15,2023-12-15,2024-01-22,5.26.3,"[5.x, 4.4]",false
5.14,2023-11-24,2023-12-15,5.26.3,"[5.x, 4.4]",false
5.13,2023-10-23,2023-11-24,5.26.3,"[5.x, 4.4]",false
5.12,2023-09-15,2023-10-23,5.26.3,"[5.x, 4.4]",false
5.11,2023-08-14,2023-09-15,5.26.3,"[5.x, 4.4]",false
5.10,2023-07-19,2023-08-14,5.26.3,"[5.x, 4.4]",false
5.9,2023-06-15,2023-07-19,5.26.3,"[5.x, 4.4]",false
5.8,2023-05-16,2023-06-15,5.26.3,"[5.x, 4.4]",false
5.7,2023-04-20,2023-05-16,5.26.3,"[5.x, 4.4]",false
5.6,2023-03-24,2023-04-20,5.26.3,"[5.x, 4.4]",false
5.5,2023-02-16,2023-03-24,5.26.3,"[5.x, 4.4]",false
5.4,2023-01-26,2023-02-16,5.26.3,"[5.x, 4.4]",false
5.3,2022-12-15,2023-01-26,5.26.3,"[5.x, 4.4]",false
5.2,2022-11-21,2022-12-15,5.26.3,"[5.x, 4.4]",false
5.1,2022-10-24,2022-11-21,5.26.3,"[5.x, 4.4]",false
5.0,2022-10-06,2022-10-24,5.26.3,"[5.x, 4.4]",false
4.4,2021-12-02,2025-11-30,5.26.3,"[5.x, 4.4]",true
4.3,2021-06-17,2022-12-16,5.26.3,"[5.x, 4.4, 4.3]",false
4.2,2020-11-17,2022-05-16,4.4.18,"[4.4, 4.3, 4.2]",false
4.1,2020-06-23,2021-12-22,4.4.18,"[4.4, 4.3, 4.2, 4.1]",false
4.0,2020-01-15,2021-07-14,4.4.18,"[4.4, 4.3, 4.2, 4.1, 4.0]",false
3.5,2018-11-29,2022-05-27,4.4.18,"[4.4, 4.3, 4.2, 4.1, 4.0, 1.7]",false
3.4,2018-05-17,2020-03-31,1.7.6,"[1.7, 1.6]",false
3.3,2017-10-24,2019-04-28,1.7.6,"[1.7, 1.6, 1.5, 1.4]",false
3.2,2017-05-11,2018-11-30,1.6.4,"[1.6, 1.5, 1.4, 1.3]",false
3.1,2016-12-13,2018-06-13,1.5.2,"[1.5, 1.4, 1.3, 1.2, 1.1]",false
3.0,2016-04-16,2017-10-31,1.5.2,"[1.5, 1.4, 1.3, 1.2, 1.1, 1.0]",false
